,rt:eventAction,rt:eventCategory,rt:eventLabel,rt:totalEvents
118,50,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?page=NaN&originatingoffices=%26RegionIds%3D7&minyear=2006&maxyear=2020&search=%26SearchText%3Dhonduran%20black%20fraternity%20org,1
119,50,Scroll,https://www.fordfoundation.org/work/our-grants/how-we-make-grants/,1
120,50,Scroll,https://www.fordfoundation.org/work/our-grants/justfilms/,1
121,50,Scroll,https://www.fordfoundation.org/work/our-grants/justfilms/justfilms-inquiry/,2
122,50% Watched,YouTube,How Our Endowment Works - 5qS_tapYGzE,1
123,50% Watched,YouTube,How the Ford Foundation's Grant Making Works - JSz7TSPA4wQ,1
124,50% Watched,YouTube,The Power of a Name ft. Jon Stryker & Van Jones - leC3PvcYNe8,1
125,75,Scroll,https://www.fordfoundation.org/about/about-ford/,1
126,75,Scroll,https://www.fordfoundation.org/about/careers/,4
127,75,Scroll,https://www.fordfoundation.org/about/library/video/the-story-of-the-south-is-the-story-of-america/?gclid=CjwKCAjwoZWHBhBgEiwAiMN66QFXMzA0IcNznUxncLmQyge_Gnn1s1eOrYAhW9FDj8PG0cXzjR95WBoCOjwQAvD_BwE,1
128,75,Scroll,https://www.fordfoundation.org/about/library/video/the-story-of-the-south-is-the-story-of-america/?gclid=CjwKCAjwoZWHBhBgEiwAiMN66Xa9Jh8ePMLq8y13KAQDCXSTv8hOJGocYox4GlO9494XvJ0LRjTDOhoC7u8QAvD_BwE,1
129,75,Scroll,https://www.fordfoundation.org/about/library/video/the-story-of-the-south-is-the-story-of-america/?gclid=EAIaIQobChMIr-mmi63S8QIV2mpvBB0naQHdEAAYASAAEgJmY_D_BwE,1
130,75,Scroll,https://www.fordfoundation.org/about/people/,2
131,75,Scroll,https://www.fordfoundation.org/about/people/martin-abregu/,1
132,75,Scroll,https://www.fordfoundation.org/about/people/officers/,1
133,75,Scroll,https://www.fordfoundation.org/about/people/rachel-korberg/,1
134,75,Scroll,https://www.fordfoundation.org/about/people/rebecca-cokley/,1
135,75,Scroll,https://www.fordfoundation.org/campaigns/the-art-of-change-meet-our-fellows/sandra-cisneros/,1
136,75,Scroll,https://www.fordfoundation.org/just-matters/ford-forum/the-future-of-philanthropy/forum/,1
137,75,Scroll,https://www.fordfoundation.org/just-matters/ford-forum/the-future-of-philanthropy/ideas/,2
138,75,Scroll,https://www.fordfoundation.org/just-matters/ford-forum/the-future-of-philanthropy/in-the-media/,1
139,75,Scroll,https://www.fordfoundation.org/just-matters/just-matters/by-author/,1
140,75,Scroll,https://www.fordfoundation.org/just-matters/just-matters/posts/an-evening-with-kumu-hina/,1
141,75,Scroll,https://www.fordfoundation.org/just-matters/just-matters/posts/towards-a-just-south/,1
142,75,Scroll,https://www.fordfoundation.org/our-work-around-the-world/andean-region/,2
143,75,Scroll,https://www.fordfoundation.org/the-latest/news-additional-pages/faqs-generation-equality-forum-commitments/,1
144,75,Scroll,https://www.fordfoundation.org/the-latest/news/ford-foundation-announces-180-million-in-new-funding-for-us-racial-justice-efforts/,1
145,75,Scroll,https://www.fordfoundation.org/the-latest/news/higher-education-philanthropy-and-public-policy-sectors-unite-in-new-push-to-develop-public-interest-technology/,1
146,75,Scroll,https://www.fordfoundation.org/work/challenging-inequality/,1
147,75,Scroll,https://www.fordfoundation.org/work/challenging-inequality/gender-racial-and-ethnic-justice/,1
148,75,Scroll,https://www.fordfoundation.org/work/challenging-inequality/gender-racial-and-ethnic-justice/gender-based-violence/,1
149,75,Scroll,https://www.fordfoundation.org/work/challenging-inequality/natural-resources-and-climate-change/strategy/,1
150,75,Scroll,https://www.fordfoundation.org/work/our-grants/,4
151,75,Scroll,https://www.fordfoundation.org/work/our-grants/building-institutions-and-networks/approaches/,1
152,75,Scroll,https://www.fordfoundation.org/work/our-grants/building-institutions-and-networks/how-it-works/,1
153,75,Scroll,https://www.fordfoundation.org/work/our-grants/grant-opportunities/,4
154,75,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all,2
155,75,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?minyear=2006&maxyear=2021&page=0&minamount=0&maxamount=30000000&originatingoffices=&thematicareas=&subjects=&grantTypes=%26GrantTypeIds%3D2,1
